recording_id,label,delta,theta,alpha,sigma,beta,eog_ptp,emg_rms,pz_delta,pz_alpha,pz_sigma
SC4201E0-PSG.edf,N1,0.7167,0.1049,0.0964,0.0658,0.0576,221.7,3.618,0.5097,0.1291,0.0696
SC4201E0-PSG.edf,N2,0.8022,0.0917,0.0601,0.0427,0.0366,79.9,3.559,0.7042,0.0733,0.046
SC4201E0-PSG.edf,N3,0.9402,0.0466,0.0092,0.0058,0.0048,88.35,1.216,0.9042,0.0097,0.0058
SC4201E0-PSG.edf,OTHER,0.9153,0.0218,0.0239,0.0195,0.0398,587.8,3.246,0.97,0.0067,0.0061
SC4201E0-PSG.edf,REM,0.8543,0.0763,0.0371,0.0208,0.0285,431.5,3.253,0.5255,0.1466,0.0755
SC4201E0-PSG.edf,Wake,0.8446,0.0874,0.0291,0.0176,0.0352,591.4,3.401,0.645,0.0754,0.0632
SC4202E0-PSG.edf,N1,0.5904,0.117,0.1186,0.0792,0.1442,412.45,3.2515,0.3679,0.1816,0.0828
SC4202E0-PSG.edf,N2,0.7481,0.0965,0.0692,0.0568,0.0798,90.7,3.237,0.7021,0.0707,0.0475
SC4202E0-PSG.edf,REM,0.7246,0.1031,0.0582,0.0378,0.1136,382.0,2.231,0.5325,0.1456,0.0742
SC4202E0-PSG.edf,Wake,0.8337,0.0978,0.0253,0.0155,0.0376,676.1,3.633,0.473,0.109,0.1021
SC4211E0-PSG.edf,N1,0.6583,0.1528,0.0696,0.0478,0.1117,96.5,1.9275,0.6432,0.0768,0.0434
SC4211E0-PSG.edf,N2,0.7759,0.1066,0.059,0.0507,0.0482,106.4,1.365,0.7543,0.0582,0.0393
SC4211E0-PSG.edf,N3,0.9137,0.0523,0.0239,0.013,0.01,138.0,1.775,0.9085,0.0224,0.011
SC4211E0-PSG.edf,OTHER,0.647,0.0642,0.0749,0.0764,0.2065,391.5,2.788,0.8402,0.0832,0.0438
SC4211E0-PSG.edf,REM,0.6792,0.1547,0.0559,0.0325,0.0907,128.1,0.489,0.6417,0.0951,0.0401
SC4211E0-PSG.edf,Wake,0.8348,0.0774,0.0272,0.0209,0.0602,565.4,3.392,0.42,0.1137,0.1033
SC4212E0-PSG.edf,N1,0.7199,0.1232,0.0689,0.0511,0.0737,95.2,2.429,0.6319,0.0923,0.0549
SC4212E0-PSG.edf,N2,0.8369,0.0925,0.0422,0.0322,0.0244,80.65,1.2305,0.7987,0.0481,0.0308
SC4212E0-PSG.edf,N3,0.9345,0.0427,0.0159,0.0085,0.0051,116.0,0.988,0.9166,0.0178,0.0092
SC4212E0-PSG.edf,REM,0.7503,0.1504,0.0449,0.0199,0.0376,161.8,0.199,0.6796,0.0823,0.0329
SC4212E0-PSG.edf,Wake,0.9033,0.0649,0.0136,0.0083,0.0172,530.3,2.91,0.4694,0.1057,0.0923
SC4221E0-PSG.edf,N1,0.704,0.1134,0.0774,0.0575,0.0912,121.6,2.885,0.8566,0.0237,0.0203
SC4221E0-PSG.edf,N2,0.8372,0.088,0.0402,0.0238,0.0316,142.9,2.453,0.8729,0.0216,0.0188
SC4221E0-PSG.edf,N3,0.9336,0.0502,0.013,0.0053,0.0064,183.55,3.021,0.8788,0.0182,0.0156
SC4221E0-PSG.edf,REM,0.588,0.1447,0.0973,0.0776,0.1571,160.95,1.1755,0.863,0.024,0.0219
SC4221E0-PSG.edf,Wake,0.7396,0.0977,0.042,0.0375,0.1178,716.7,3.063,0.9048,0.0164,0.0133
SC4222E0-PSG.edf,N1,0.6639,0.1235,0.082,0.059,0.1202,115.0,2.1185,0.5115,0.101,0.0626
SC4222E0-PSG.edf,N2,0.8049,0.1014,0.0512,0.0329,0.0391,113.5,1.655,0.6255,0.0699,0.0408
SC4222E0-PSG.edf,N3,0.9118,0.0598,0.0188,0.0084,0.0088,146.4,2.4095,0.7696,0.0355,0.0158
SC4222E0-PSG.edf,REM,0.6326,0.1407,0.0788,0.0635,0.1296,238.5,0.981,0.5176,0.1245,0.0673
SC4222E0-PSG.edf,Wake,0.757,0.0992,0.0391,0.0347,0.1038,646.3,3.017,0.3159,0.1224,0.1291
SC4231E0-PSG.edf,N1,0.7484,0.1078,0.0886,0.047,0.0407,225.3,3.177,0.6464,0.1077,0.0521
SC4231E0-PSG.edf,N2,0.7987,0.1106,0.0648,0.0292,0.0228,108.4,3.154,0.7424,0.0752,0.034
SC4231E0-PSG.edf,N3,0.9336,0.0416,0.0184,0.0054,0.004,128.5,3.166,0.8882,0.0308,0.0086
SC4231E0-PSG.edf,OTHER,0.7399,0.053,0.0795,0.0463,0.0785,761.9,2.99,0.794,0.0813,0.0365
SC4231E0-PSG.edf,REM,0.7241,0.1378,0.0817,0.0444,0.0474,390.7,3.0775,0.6396,0.0986,0.052
SC4231E0-PSG.edf,Wake,0.8974,0.0542,0.018,0.0119,0.027,786.6,2.9855,0.4918,0.1124,0.1044
SC4232E0-PSG.edf,N1,0.7388,0.1122,0.0866,0.0528,0.0479,138.15,2.901,0.7194,0.0782,0.0385
SC4232E0-PSG.edf,N2,0.715,0.1302,0.0968,0.0523,0.046,99.4,2.782,0.7178,0.0758,0.0398
SC4232E0-PSG.edf,N3,0.9047,0.0551,0.0323,0.0118,0.008,121.5,1.33,0.8656,0.038,0.0109
SC4232E0-PSG.edf,OTHER,0.4568,0.1101,0.1541,0.1064,0.2544,386.3,2.95,0.4825,0.2162,0.0793
SC4232E0-PSG.edf,REM,0.6901,0.1395,0.0896,0.0549,0.0711,377.6,2.793,0.63,0.0992,0.048
SC4232E0-PSG.edf,Wake,0.8497,0.0677,0.0271,0.0191,0.0484,716.95,2.908,0.5386,0.1113,0.0972
SC4241E0-PSG.edf,N1,0.7649,0.1099,0.0639,0.0354,0.0502,223.3,1.79,0.6724,0.1072,0.0446
SC4241E0-PSG.edf,N2,0.798,0.104,0.0492,0.0422,0.0381,75.7,0.6175,0.772,0.0522,0.036
SC4241E0-PSG.edf,N3,0.9381,0.0457,0.0124,0.0103,0.0064,92.7,0.4915,0.9235,0.0106,0.0066
SC4241E0-PSG.edf,OTHER,0.9222,0.0271,0.0198,0.0115,0.0314,736.5,3.7655,0.572,0.15,0.0686
SC4241E0-PSG.edf,REM,0.7565,0.1304,0.0546,0.0266,0.0392,380.6,0.3705,0.6848,0.084,0.0352
SC4241E0-PSG.edf,Wake,0.8625,0.0934,0.0174,0.0104,0.0228,740.5,4.155,0.4279,0.1066,0.0851
SC4242E0-PSG.edf,N1,0.5796,0.1166,0.1276,0.0607,0.1567,381.65,2.511,0.519,0.2268,0.061
SC4242E0-PSG.edf,N2,0.7382,0.1177,0.0645,0.0662,0.0639,118.0,0.833,0.7544,0.0593,0.0438
SC4242E0-PSG.edf,N3,0.9088,0.0651,0.0171,0.0149,0.0154,117.0,0.643,0.9189,0.0128,0.0075
SC4242E0-PSG.edf,REM,0.6352,0.1658,0.078,0.0409,0.0833,483.9,0.6285,0.6172,0.1141,0.0489
SC4242E0-PSG.edf,Wake,0.7813,0.1148,0.0332,0.0231,0.0623,974.8,4.012,0.4368,0.1059,0.083
SC4251E0-PSG.edf,N1,0.5661,0.1408,0.1147,0.0519,0.1612,182.95,3.222,0.4538,0.2309,0.0482
SC4251E0-PSG.edf,N2,0.8013,0.1162,0.0464,0.0329,0.0331,100.3,1.772,0.7372,0.0526,0.0331
SC4251E0-PSG.edf,N3,0.9114,0.0638,0.0202,0.0118,0.0072,182.7,1.48,0.8856,0.0234,0.0122
SC4251E0-PSG.edf,REM,0.7348,0.1436,0.0532,0.0298,0.0632,225.2,0.5365,0.6982,0.0646,0.0334
SC4251E0-PSG.edf,Wake,0.792,0.1011,0.0314,0.0231,0.0731,621.0,3.831,0.5131,0.1074,0.0773
SC4252E0-PSG.edf,N1,0.7596,0.1313,0.0506,0.0318,0.0537,117.2,2.878,0.6715,0.0658,0.0336
SC4252E0-PSG.edf,N2,0.7952,0.1217,0.0475,0.0358,0.0351,86.3,2.375,0.7385,0.0525,0.0349
SC4252E0-PSG.edf,N3,0.9034,0.0667,0.0212,0.0114,0.0079,104.1,2.805,0.8816,0.0224,0.0112
SC4252E0-PSG.edf,OTHER,0.8654,0.0551,0.0302,0.0262,0.0493,525.6,3.976,0.7383,0.0723,0.0529
SC4252E0-PSG.edf,REM,0.7425,0.1399,0.0524,0.0287,0.0554,244.5,0.4475,0.6882,0.0627,0.0314
SC4252E0-PSG.edf,Wake,0.7951,0.1075,0.0298,0.0218,0.0662,557.5,3.827,0.4945,0.1081,0.0804
SC4261F0-PSG.edf,N1,0.6538,0.1181,0.1137,0.0605,0.0938,95.3,3.718,0.6424,0.0984,0.0424
SC4261F0-PSG.edf,N2,0.6866,0.1207,0.1335,0.0578,0.0446,61.1,2.256,0.6817,0.0898,0.0432
SC4261F0-PSG.edf,N3,0.9072,0.0445,0.0432,0.0105,0.0057,83.3,0.8095,0.8627,0.0427,0.0124
SC4261F0-PSG.edf,REM,0.6596,0.1539,0.092,0.0438,0.0674,157.35,0.221,0.6115,0.074,0.033
SC4261F0-PSG.edf,Wake,0.8056,0.0982,0.0266,0.0207,0.0641,467.8,4.464,0.5579,0.084,0.0707
SC4262F0-PSG.edf,N1,0.5796,0.1393,0.1179,0.0721,0.1155,109.7,3.776,0.5799,0.1104,0.0502
SC4262F0-PSG.edf,N2,0.656,0.1221,0.1406,0.0672,0.0627,86.7,3.083,0.6452,0.1013,0.0495
SC4262F0-PSG.edf,N3,0.8808,0.0557,0.0594,0.0135,0.0068,99.4,1.74,0.8337,0.0547,0.0144
SC4262F0-PSG.edf,REM,0.5769,0.1741,0.118,0.057,0.1054,148.4,0.33,0.5559,0.0845,0.0355
SC4262F0-PSG.edf,Wake,0.776,0.1011,0.0329,0.0266,0.0846,485.5,4.304,0.5835,0.0836,0.0678
SC4271F0-PSG.edf,N1,0.6071,0.1476,0.1587,0.0864,0.088,139.35,3.794,0.547,0.1843,0.0701
SC4271F0-PSG.edf,N2,0.7132,0.123,0.1055,0.0514,0.0473,119.0,1.756,0.6316,0.1323,0.0502
SC4271F0-PSG.edf,N3,0.906,0.0488,0.034,0.0134,0.0108,154.1,1.414,0.7955,0.0583,0.0205
SC4271F0-PSG.edf,REM,0.541,0.1708,0.1456,0.0912,0.1368,212.55,0.5225,0.5309,0.1389,0.0708
SC4271F0-PSG.edf,Wake,0.7479,0.1058,0.053,0.0403,0.0834,602.3,4.0525,0.3952,0.1659,0.1298
SC4272F0-PSG.edf,N1,0.657,0.1351,0.1247,0.0732,0.0778,127.3,2.381,0.5921,0.1326,0.0569
SC4272F0-PSG.edf,N2,0.7217,0.1247,0.1055,0.0512,0.0457,113.2,1.827,0.6399,0.125,0.0491
SC4272F0-PSG.edf,N3,0.917,0.045,0.0292,0.0108,0.008,140.3,1.679,0.8264,0.0448,0.0148
SC4272F0-PSG.edf,REM,0.5773,0.1765,0.1298,0.0755,0.1085,140.1,0.318,0.5335,0.1484,0.0699
SC4272F0-PSG.edf,Wake,0.8235,0.0918,0.0353,0.0243,0.0444,586.8,4.023,0.5239,0.1202,0.09
SC4281G0-PSG.edf,N1,0.5526,0.1233,0.0878,0.0604,0.1733,137.6,3.873,0.6306,0.0951,0.0538
SC4281G0-PSG.edf,N2,0.8247,0.0963,0.0451,0.0288,0.0292,76.7,2.8595,0.7739,0.0542,0.0283
SC4281G0-PSG.edf,N3,0.9589,0.0288,0.0094,0.0044,0.0034,110.2,0.84,0.9108,0.0183,0.0078
SC4281G0-PSG.edf,REM,0.676,0.1936,0.0515,0.0311,0.0549,175.5,0.912,0.6827,0.0637,0.0337
SC4281G0-PSG.edf,Wake,0.8974,0.0516,0.0212,0.0125,0.0288,559.9,3.849,0.4534,0.1227,0.1038
SC4282G0-PSG.edf,N1,0.5408,0.1269,0.1137,0.0809,0.2192,134.4,2.988,0.5321,0.1323,0.0845
SC4282G0-PSG.edf,N2,0.8222,0.0928,0.0448,0.0274,0.0299,90.5,2.568,0.7709,0.0538,0.028
SC4282G0-PSG.edf,N3,0.9609,0.0286,0.0089,0.0043,0.0034,125.0,1.639,0.9333,0.0146,0.006
SC4282G0-PSG.edf,REM,0.6773,0.1854,0.0677,0.0376,0.0588,136.5,0.9525,0.7318,0.0554,0.028
SC4282G0-PSG.edf,Wake,0.8979,0.054,0.021,0.0119,0.0248,522.5,2.951,0.4158,0.1262,0.1076
SC4291G0-PSG.edf,N1,0.7016,0.1379,0.0966,0.0371,0.0526,145.7,1.849,0.5987,0.1338,0.0421
SC4291G0-PSG.edf,N2,0.7536,0.1309,0.0754,0.037,0.031,104.7,1.488,0.6755,0.1015,0.045
SC4291G0-PSG.edf,N3,0.9272,0.0466,0.018,0.0089,0.007,182.2,1.3265,0.8734,0.0332,0.0117
SC4291G0-PSG.edf,REM,0.7082,0.203,0.0421,0.0194,0.0276,258.7,0.683,0.6544,0.0664,0.0314
SC4291G0-PSG.edf,Wake,0.8649,0.0761,0.0252,0.0137,0.0295,672.3,3.096,0.4969,0.1154,0.066
SC4292G0-PSG.edf,N1,0.6665,0.1818,0.0851,0.0405,0.0527,119.5,1.459,0.5956,0.1153,0.0392
SC4292G0-PSG.edf,N2,0.7439,0.1386,0.0762,0.0356,0.0286,115.2,1.322,0.6605,0.1001,0.0402
SC4292G0-PSG.edf,N3,0.9308,0.0452,0.0165,0.0074,0.0057,205.35,0.7415,0.8716,0.0304,0.0107
SC4292G0-PSG.edf,OTHER,0.8844,0.047,0.0348,0.0152,0.0305,842.4,2.143,0.7247,0.0689,0.0288
SC4292G0-PSG.edf,REM,0.6968,0.2026,0.0489,0.0205,0.0277,366.25,0.6565,0.6487,0.069,0.027
SC4292G0-PSG.edf,Wake,0.8597,0.0786,0.0271,0.0147,0.0311,713.0,2.986,0.5106,0.1098,0.0639
SC4301E0-PSG.edf,N1,0.5758,0.1744,0.0881,0.0549,0.1123,140.0,2.613,0.5278,0.1334,0.0782
SC4301E0-PSG.edf,N2,0.7452,0.1348,0.0667,0.0452,0.0508,107.3,2.52,0.6235,0.0927,0.0506
SC4301E0-PSG.edf,N3,0.8618,0.0804,0.0378,0.0224,0.0185,124.95,2.4315,0.7829,0.0514,0.026
SC4301E0-PSG.edf,OTHER,0.848,0.0319,0.0358,0.0291,0.0862,493.15,4.1225,0.9687,0.0108,0.0087
SC4301E0-PSG.edf,REM,0.5712,0.1982,0.074,0.0407,0.1295,273.3,1.404,0.5092,0.1566,0.0926
SC4301E0-PSG.edf,Wake,0.7984,0.0841,0.0367,0.0273,0.0774,797.6,3.9935,0.5322,0.1202,0.0961
SC4302E0-PSG.edf,N1,0.5848,0.1768,0.0876,0.0604,0.1464,153.15,3.805,0.5084,0.1352,0.0797
SC4302E0-PSG.edf,N2,0.7218,0.1494,0.0701,0.0492,0.0548,99.9,3.806,0.6124,0.095,0.0506
SC4302E0-PSG.edf,N3,0.8672,0.0829,0.0362,0.0203,0.0164,108.4,3.254,0.7416,0.0525,0.0229
SC4302E0-PSG.edf,REM,0.5287,0.2216,0.0832,0.0413,0.1334,226.8,3.823,0.4956,0.1688,0.0927
SC4302E0-PSG.edf,Wake,0.7318,0.098,0.0488,0.0382,0.1153,672.5,3.729,0.479,0.1265,0.0989
SC4311E0-PSG.edf,N1,0.3946,0.1211,0.1604,0.1002,0.2908,133.7,1.492,0.4756,0.1843,0.0749
SC4311E0-PSG.edf,N2,0.7239,0.1362,0.0625,0.0494,0.0698,101.3,0.9355,0.6511,0.0832,0.0529
SC4311E0-PSG.edf,N3,0.8886,0.0697,0.023,0.0158,0.0168,128.6,1.128,0.8469,0.03,0.0176
SC4311E0-PSG.edf,REM,0.5519,0.1386,0.0772,0.0494,0.19,285.95,0.3775,0.5704,0.1131,0.06
SC4311E0-PSG.edf,Wake,0.6965,0.09,0.0563,0.0456,0.159,494.7,2.84,0.319,0.1502,0.1097
SC4312E0-PSG.edf,N1,0.6552,0.1428,0.0916,0.0528,0.1135,85.5,2.773,0.5958,0.1206,0.0472
SC4312E0-PSG.edf,N2,0.7911,0.1218,0.046,0.032,0.0383,82.15,2.35,0.6957,0.0662,0.043
SC4312E0-PSG.edf,N3,0.9128,0.062,0.0147,0.0102,0.0097,115.0,2.023,0.874,0.0221,0.0148
SC4312E0-PSG.edf,REM,0.6969,0.1437,0.0512,0.0301,0.0954,217.3,2.401,0.6486,0.085,0.0436
SC4312E0-PSG.edf,Wake,0.8495,0.0721,0.026,0.0177,0.0558,491.1,2.829,0.3401,0.1387,0.1074
SC4321E0-PSG.edf,N1,0.7214,0.1507,0.0762,0.0374,0.0422,82.85,0.682,0.6794,0.0878,0.04
SC4321E0-PSG.edf,N2,0.7676,0.1351,0.0602,0.0297,0.0282,81.25,0.178,0.7617,0.0666,0.0292
SC4321E0-PSG.edf,OTHER,0.707,0.1423,0.0675,0.0419,0.0866,709.2,2.453,0.5085,0.1028,0.0766
SC4321E0-PSG.edf,REM,0.7946,0.1087,0.0466,0.0196,0.0372,394.2,0.1515,0.6699,0.0926,0.031
SC4321E0-PSG.edf,Wake,0.8505,0.0731,0.0294,0.0167,0.0417,446.1,2.792,0.7111,0.0701,0.0426
SC4322E0-PSG.edf,N1,0.5754,0.1648,0.131,0.0588,0.114,153.5,1.0575,0.5568,0.1406,0.0457
SC4322E0-PSG.edf,N2,0.6912,0.1648,0.0835,0.0437,0.048,101.6,0.622,0.6822,0.0868,0.0407
SC4322E0-PSG.edf,N3,0.8473,0.106,0.0396,0.0098,0.0095,144.4,0.279,0.8272,0.0455,0.0125
SC4322E0-PSG.edf,REM,0.7015,0.1425,0.0672,0.0301,0.0684,283.4,0.43,0.5986,0.1176,0.0392
SC4322E0-PSG.edf,Wake,0.7601,0.0917,0.0456,0.0314,0.0972,478.8,3.41,0.6742,0.0773,0.0508
SC4331F0-PSG.edf,N1,0.8181,0.1073,0.0424,0.021,0.0246,87.8,2.39,0.7622,0.0596,0.0252
SC4331F0-PSG.edf,N2,0.8549,0.0898,0.0366,0.0206,0.017,75.2,1.97,0.8273,0.0429,0.0221
SC4331F0-PSG.edf,OTHER,0.8471,0.0537,0.0285,0.0201,0.0717,789.1,2.977,0.8331,0.0438,0.0152
SC4331F0-PSG.edf,REM,0.7392,0.144,0.0561,0.0205,0.0358,137.0,1.1955,0.6884,0.0945,0.03
SC4331F0-PSG.edf,Wake,0.8519,0.0679,0.0264,0.0166,0.0485,548.0,3.8295,0.5491,0.1018,0.0684
SC4332F0-PSG.edf,N1,0.6679,0.1285,0.0938,0.0417,0.0927,112.7,1.676,0.6448,0.116,0.0412
SC4332F0-PSG.edf,N2,0.8014,0.1107,0.0504,0.0331,0.0334,98.2,1.6245,0.7772,0.0541,0.0304
SC4332F0-PSG.edf,OTHER,0.5276,0.0929,0.0968,0.0764,0.2842,978.05,2.0865,0.7026,0.0865,0.0569
SC4332F0-PSG.edf,REM,0.7019,0.1532,0.0686,0.0289,0.0577,205.35,1.65,0.6414,0.1051,0.0459
SC4332F0-PSG.edf,Wake,0.6878,0.0916,0.0595,0.0486,0.1555,602.9,1.863,0.4888,0.1124,0.0827
SC4341F0-PSG.edf,N1,0.7598,0.1045,0.0579,0.0411,0.0724,197.25,0.684,0.7619,0.066,0.0379
SC4341F0-PSG.edf,N2,0.809,0.1075,0.0473,0.0284,0.0325,70.9,0.28,0.8003,0.0465,0.0271
SC4341F0-PSG.edf,REM,0.7428,0.135,0.0561,0.029,0.0474,169.65,0.147,0.7623,0.0588,0.032
SC4341F0-PSG.edf,Wake,0.8983,0.0761,0.0116,0.0058,0.0122,793.0,2.752,0.5131,0.1026,0.0759
SC4342F0-PSG.edf,N1,0.7313,0.1212,0.0666,0.0377,0.0874,248.3,3.2955,0.712,0.071,0.0427
SC4342F0-PSG.edf,N2,0.807,0.1173,0.0449,0.0264,0.0258,70.4,3.285,0.7772,0.0506,0.028
SC4342F0-PSG.edf,REM,0.7472,0.1528,0.0544,0.0232,0.0431,357.1,3.3015,0.7482,0.0648,0.0318
SC4342F0-PSG.edf,Wake,0.9159,0.0634,0.0103,0.0052,0.0098,828.8,3.2725,0.5403,0.0988,0.0696
SC4351F0-PSG.edf,N1,0.7167,0.1051,0.1188,0.0439,0.0453,108.55,1.7735,0.6236,0.1772,0.0591
SC4351F0-PSG.edf,N2,0.882,0.0793,0.0284,0.0134,0.0111,147.1,0.9,0.8219,0.0449,0.0185
SC4351F0-PSG.edf,N3,0.9532,0.0328,0.0094,0.0046,0.0036,178.85,0.883,0.9136,0.0156,0.0066
SC4351F0-PSG.edf,REM,0.7613,0.1324,0.067,0.0338,0.0432,108.35,0.249,0.7011,0.0674,0.0308
SC4351F0-PSG.edf,Wake,0.7981,0.0893,0.0495,0.0325,0.0552,140.1,2.686,0.6112,0.1412,0.0798
SC4352F0-PSG.edf,N1,0.6124,0.1362,0.1507,0.066,0.0746,100.0,3.2875,0.5158,0.2149,0.0643
SC4352F0-PSG.edf,N2,0.8344,0.1048,0.0369,0.0212,0.0212,98.35,2.236,0.7699,0.0548,0.026
SC4352F0-PSG.edf,N3,0.9328,0.0435,0.0126,0.0068,0.0064,128.5,2.415,0.8926,0.022,0.0092
SC4352F0-PSG.edf,OTHER,0.8548,0.0385,0.046,0.0275,0.0612,321.2,1.9275,0.8258,0.0734,0.0286
SC4352F0-PSG.edf,REM,0.708,0.1477,0.0842,0.0419,0.0465,121.7,0.928,0.6676,0.097,0.0446
SC4352F0-PSG.edf,Wake,0.713,0.1149,0.0685,0.0491,0.1035,299.9,3.233,0.4786,0.2006,0.1154
SC4362F0-PSG.edf,N1,0.6665,0.1627,0.0628,0.0394,0.0914,59.4,1.619,0.6386,0.0928,0.0369
SC4362F0-PSG.edf,N2,0.8315,0.104,0.0301,0.0251,0.0313,59.4,0.569,0.7941,0.0393,0.0295
SC4362F0-PSG.edf,N3,0.9056,0.07,0.0152,0.0095,0.0102,60.8,0.317,0.9004,0.016,0.0092
SC4362F0-PSG.edf,REM,0.6382,0.1637,0.076,0.0388,0.0864,57.4,0.9345,0.6353,0.1084,0.033
SC4362F0-PSG.edf,Wake,0.7123,0.0979,0.0549,0.0425,0.1288,350.05,4.435,0.3597,0.1669,0.1166
SC4371F0-PSG.edf,N1,0.8192,0.0726,0.0332,0.0268,0.075,80.4,3.827,0.7421,0.052,0.0298
SC4371F0-PSG.edf,N2,0.8956,0.057,0.0199,0.0163,0.0258,61.7,2.1115,0.8008,0.043,0.024
SC4371F0-PSG.edf,N3,0.9525,0.0332,0.0089,0.006,0.0076,79.9,1.04,0.899,0.0259,0.0131
SC4371F0-PSG.edf,REM,0.8822,0.066,0.0198,0.0102,0.0217,160.2,0.227,0.6909,0.0579,0.0245
SC4371F0-PSG.edf,Wake,0.8769,0.0727,0.0136,0.009,0.0298,379.8,4.6205,0.5008,0.0986,0.0844
SC4372F0-PSG.edf,N1,0.76,0.0892,0.0422,0.0381,0.1055,85.25,1.6065,0.6938,0.064,0.038
SC4372F0-PSG.edf,N2,0.8439,0.072,0.0298,0.0246,0.0514,88.1,1.03,0.758,0.0534,0.0282
SC4372F0-PSG.edf,N3,0.9515,0.0302,0.0076,0.005,0.0109,89.2,0.4865,0.8856,0.0234,0.0108
SC4372F0-PSG.edf,REM,0.7728,0.0993,0.0416,0.025,0.0802,241.8,0.404,0.6405,0.0743,0.0331
SC4372F0-PSG.edf,Wake,0.776,0.0928,0.0337,0.0291,0.0945,454.5,4.91,0.5191,0.0967,0.0783
SC4381F0-PSG.edf,N1,0.6558,0.1214,0.0941,0.057,0.1082,58.2,0.685,0.6522,0.0953,0.0466
SC4381F0-PSG.edf,N2,0.7955,0.1008,0.0462,0.0444,0.0473,55.1,0.3565,0.752,0.0514,0.0389
SC4381F0-PSG.edf,N3,0.9298,0.0528,0.0131,0.0093,0.0068,70.85,0.317,0.8985,0.0179,0.0116
SC4381F0-PSG.edf,REM,0.6889,0.1639,0.067,0.037,0.0707,162.05,0.166,0.6937,0.085,0.0369
SC4381F0-PSG.edf,Wake,0.7576,0.1105,0.0426,0.0322,0.0814,375.6,3.001,0.4008,0.1276,0.0931
SC4382F0-PSG.edf,N1,0.6168,0.1084,0.0962,0.0601,0.1508,108.1,1.745,0.5543,0.1393,0.0647
SC4382F0-PSG.edf,N2,0.7602,0.109,0.0558,0.0592,0.0655,90.4,0.887,0.677,0.0715,0.059
SC4382F0-PSG.edf,N3,0.9231,0.05,0.0144,0.0101,0.0082,109.1,0.786,0.8732,0.0254,0.0133
SC4382F0-PSG.edf,REM,0.6457,0.1621,0.0811,0.0484,0.0958,179.7,1.328,0.5929,0.116,0.057
SC4382F0-PSG.edf,Wake,0.6339,0.1156,0.0689,0.0568,0.1732,575.3,2.939,0.3591,0.1456,0.1033
SC4401E0-PSG.edf,N1,0.7685,0.1223,0.0699,0.0306,0.0322,98.8,1.978,0.5162,0.0845,0.0335
SC4401E0-PSG.edf,N2,0.8665,0.0787,0.0362,0.0178,0.0159,96.5,2.182,0.6913,0.0572,0.0239
SC4401E0-PSG.edf,N3,0.9162,0.049,0.022,0.0078,0.0073,107.3,2.4515,0.7255,0.0418,0.0195
SC4401E0-PSG.edf,REM,0.6956,0.1713,0.0999,0.034,0.0408,355.8,0.3065,0.5297,0.1011,0.0388
SC4401E0-PSG.edf,Wake,0.7877,0.0937,0.066,0.0259,0.0534,396.45,3.118,0.3508,0.1678,0.1021
SC4402E0-PSG.edf,N1,0.6221,0.191,0.1062,0.0414,0.066,143.65,2.469,0.3568,0.1322,0.0424
SC4402E0-PSG.edf,N2,0.8039,0.109,0.0577,0.0277,0.0284,112.5,1.453,0.6069,0.0751,0.0306
SC4402E0-PSG.edf,N3,0.8895,0.066,0.0319,0.015,0.0125,144.1,2.461,0.7372,0.0417,0.017
SC4402E0-PSG.edf,REM,0.5841,0.2324,0.1219,0.0411,0.0503,184.95,0.5475,0.4442,0.121,0.0441
SC4402E0-PSG.edf,Wake,0.7235,0.0967,0.0807,0.04,0.0914,502.5,3.214,0.3581,0.1821,0.1041
SC4411E0-PSG.edf,N1,0.7312,0.1246,0.0878,0.0309,0.0494,134.6,4.576,0.6587,0.1114,0.0298
SC4411E0-PSG.edf,N2,0.8028,0.1155,0.0544,0.0262,0.0232,103.1,3.704,0.7662,0.0648,0.0234
SC4411E0-PSG.edf,N3,0.9285,0.0499,0.0159,0.008,0.0068,121.85,3.7245,0.8979,0.0214,0.0088
SC4411E0-PSG.edf,REM,0.6533,0.184,0.0895,0.0405,0.0674,149.85,1.7405,0.5921,0.1088,0.0416
SC4411E0-PSG.edf,Wake,0.7051,0.0893,0.0568,0.0453,0.1483,535.0,6.618,0.4948,0.1119,0.0806
SC4412E0-PSG.edf,N1,0.7119,0.1441,0.084,0.0362,0.0488,235.1,2.6745,0.6712,0.1025,0.0313
SC4412E0-PSG.edf,N2,0.7604,0.144,0.0682,0.0286,0.0262,122.45,2.7825,0.739,0.0733,0.0241
SC4412E0-PSG.edf,N3,0.8926,0.0794,0.0227,0.0118,0.01,134.8,2.2035,0.862,0.0241,0.0096
SC4412E0-PSG.edf,OTHER,0.5066,0.1193,0.1354,0.0946,0.2402,51.1,0.018,0.2954,0.1345,0.1283
SC4412E0-PSG.edf,REM,0.6674,0.1924,0.079,0.0353,0.0618,290.0,1.703,0.574,0.1172,0.0382
SC4412E0-PSG.edf,Wake,0.7296,0.0891,0.0525,0.0385,0.1189,638.4,3.628,0.7627,0.0483,0.0316
SC4421E0-PSG.edf,N1,0.5392,0.1627,0.1518,0.0966,0.129,153.85,2.973,0.4618,0.1644,0.0879
SC4421E0-PSG.edf,N2,0.7453,0.1336,0.0728,0.0495,0.0499,97.3,2.909,0.6016,0.1059,0.06
SC4421E0-PSG.edf,N3,0.8784,0.0802,0.0253,0.0194,0.0174,131.1,2.528,0.7708,0.054,0.0298
